NSX, Description, New Price, Discount percent, Old Price, 
EtiaXil, Lăn Khử Mùi EtiaXil Nhãn Xanh Cho Da Nhạy Cảm 15ml, 159.000 ₫, 50%, 320.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Sáng Da Chuyên Sâu Ban Đêm 330ml, 113.000 ₫, 25%, 150.000 ₫, 
Vaseline, Combo 2 Sữa Dưỡng Thể Vaseline Sáng Mịn Da 330ml, 225.000 ₫, 25%, 300.000 ₫, 
Vaseline, Serum Dưỡng Thể Vaseline Chống Nắng Sáng Da 300ml (Mới), 136.000 ₫, 33%, 203.000 ₫, 
Cocoon, Tẩy Da Chết Toàn Thân Cocoon Cà Phê Đắk Lắk 200ml, 100.000 ₫, 20%, 125.000 ₫, 
Dove, Smoothie Tẩy Da Chết Dove Hương Hoa Anh Đào 298g, 149.000 ₫, 25%, 199.000 ₫, 
Cocoon, Combo Cocoon Tẩy Da Chết Cho Mặt & Toàn Thân Từ Cà Phê Đắk Lắk (200ml+150ml), 221.000 ₫, 24%, 290.000 ₫, 
Lifebuoy, Sữa Tắm Lifebuoy Detox Matcha & Khổ Qua 800g, 153.000 ₫, 22%, 195.000 ₫, 
Dove, Serum Ngăn Mùi Dove Giúp Mờ Thâm Thu Nhỏ Lỗ Chân Lông 40ml, 65.000 ₫, 33%, 97.000 ₫, 
Vaseline, Sữa Dưỡng Thể Vaseline Gluta-Hya Nâng Tông Tức Thì 300ml, 134.000 ₫, 31%, 195.000 ₫, 
Nivea, Sữa Dưỡng Thể Nivea Sáng Da Ban Đêm Từ 8 Super Food 350ml, 99.000 ₫, 29%, 139.000 ₫, 
Nuxe, Kem Dưỡng Da Tay Và Móng Nuxe Không Nhờn Rít 50ml, 234.000 ₫, 12%, 265.000 ₫, 
Milaganics, Bột Đậu Đỏ Milaganics Ngừa Mụn, 20.000 ₫, 52%, 42.000 ₫, 
A Bonne, Muối Tắm A Bonne Vitamin C Chiết Xuất Đu Đủ & Chanh 350g, 18.000 ₫, 67%, 55.000 ₫, 
Cléo, Kem Tẩy Lông Viền Bikini Cléo Từ Khoai Tây & Mật Ong 50g, 110.000 ₫, 17%, 132.000 ₫, 
Dove, Sữa Tắm Dưỡng Thể Dove Phục Hồi Độ Ẩm Da Khô 500g, 117.000 ₫, 18%, 142.500 ₫, 
Dove, Xịt Khử Mùi Dove Dưỡng Da Sáng Mịn Hương Phấn Thơm 150ml, 99.000 ₫, 21%, 125.000 ₫, 
White Conc, Kem Dưỡng Thể White Conc Làm Sáng Da Toàn Thân 200g, 188.000 ₫, 46%, 350.000 ₫, 
Veet, Kem Tẩy Lông Veet Silk & Fresh Dành Cho Da Nhạy Cảm 50g, 62.000 ₫, 18%, 76.000 ₫, 
Nivea, Sữa Dưỡng Thể Nivea Phục Hồi & Chống Nắng Ban Ngày 350ml, 126.000 ₫, 18%, 154.000 ₫, 
Cléo, Lotion Tẩy Lông Cléo Dạng Sữa Cho Mọi Loại Da 90ml, 84.000 ₫, 21%, 106.000 ₫, 
Lifebuoy, Sữa Tắm Lifebuoy Detox Dầu Tràm Trà & Muối Hồng 800g, 155.000 ₫, 21%, 195.000 ₫, 
Curél, Sữa Chống Nắng Curél Mặt & Toàn Thân Cho Da Khô Nhạy Cảm 60ml, 365.000 ₫, 28%, 508.000 ₫, 
CeraVe, Sữa Dưỡng Thể CeraVe Cho Da Thường Đến Khô 236ml, 305.000 ₫, 9%, 335.000 ₫, 
Re:p, Kem Giảm Rạn Da Re:p Làm Săn Chắc Và Mờ Sẹo 200ml, 470.000 ₫, 38%, 760.000 ₫, 
Paula's Choice, Kem Dưỡng Thể Paula's Choice Giảm Viêm Lỗ Chân Lông 60ml, 278.000 ₫, 20%, 349.000 ₫, 
Nerman, Dung Dịch Vệ Sinh Nam Giới Nerman - Sanda Perfume 100ml, 104.000 ₫, 5%, 109.000 ₫, 
Caryophy, Kem Dưỡng Caryophy Sáng Da, 419.000 ₫, 32%, 620.000 ₫, 
Halio, Máy Triệt Lông Cá Nhân Halio IPL Hair Removal Device, 2.499.000 ₫, 22%, 3.200.000 ₫, 
Lifebuoy, Sữa Tắm Lifebuoy Detox Than Hoạt Tính & Cám Gạo 800g, 163.000 ₫, 16%, 195.000 ₫, 
Eucerin, Sữa Dưỡng Thể Eucerin Làm Sáng Da SPF 7 250ml, 288.000 ₫, 22%, 370.000 ₫, 
On: The Body, Sữa Tắm On: The Body Dưỡng Ẩm Hương Tinh Tế 500g, 104.000 ₫, 31%, 150.000 ₫, 
Cetaphil, Sữa Dưỡng Ẩm Cetaphil Dịu Lành Cho Bé Tinh Chất Hoa Cúc 400ml, 268.000 ₫, 20%, 336.000 ₫, 
