NSX, Description, New Price, Discount percent, Old Price, 
Blossomy, [HSD 07/2024] Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Yến 50mlx3, 210.000 ₫, 31%, 305.000 ₫, 
Pharmekal, Viên Uống Pharmekal Dưỡng Sáng Da, 529.000 ₫, 12%, 600.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Hỗ Trợ Mọc Tóc 50mlx10, 567.000 ₫, 15%, 667.640 ₫, 
Innerb, Combo InnerB Chăm Sóc Da Căng Mịn Đàn Hồi 4 Món, 1.464.000 ₫, 43%, 2.560.000 ₫, 
Alfe, Nước Uống Collagen Alfe Tăng Độ Ẩm & Độ Đàn Hồi 10 Lọ, 564.000 ₫, 10%, 627.000 ₫, 
Alcofree, Combo 2 Lốc Thực Phẩm Bảo Vệ Sức Khỏe Alcofree  3 Chai/ Lốc, 238.000 ₫, 15%, 280.000 ₫, 
Aishitoto, Thạch Bổ Sung Collagen Aishitoto Vị Chanh Yuzu Hộp 15 Gói, 555.000 ₫, 20%, 690.000 ₫, 
Adiva, Combo 2 Hộp Nước Uống Làm Đẹp Adiva Collagen Gold 14 Chai, 1.589.000 ₫, 20%, 1.996.000 ₫, 
82X, Combo 3 Nước Uống 82X Placenta Shiharu Làm Đẹp Da 50ml/Lọ, 200.000 ₫, 17%, 240.000 ₫, 
MENARD, Nước Uống Menard Sâm Linh Chi Hỗ Trợ Tăng Lực 50mlx10chai, 1.100.000 ₫, 30%, 1.575.000 ₫, 
Koja, Nước Uống Bổ Sung Collagen Koja Beauty Làm Đẹp Da 100ml/ Lọ, 350.000 ₫, not available, not available, 
Aishitoto, Thạch Bổ Sung Collagen Và Ceramide Aishitoto Vị Acai 15 Gói, 635.000 ₫, 20%, 790.000 ₫, 
Adiva, Combo 2 Hộp Nước Uống Làm Đẹp Adiva Collagen 14 Chai/Hộp, 1.319.000 ₫, 19%, 1.622.000 ₫, 
Aishitoto, Thạch Bổ Sung Collagen Và Ceramide Aishitoto Vị Acai 30 Gói, 1.118.000 ₫, 20%, 1.390.000 ₫, 
Aishitoto, Thạch Bổ Sung Collagen Aishitoto Vị Chanh Yuzu Hộp 30 Gói, 1.037.000 ₫, 20%, 1.290.000 ₫, 
Aishitoto, Thạch Bổ Sung Collagen Aishitoto Vị Mận Khô Hộp 30 Gói, 1.198.000 ₫, 20%, 1.490.000 ₫, 
Blossomy, [HSD 07/2024] Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx3, 210.000 ₫, 31%, 305.000 ₫, 
Vital Beautie, Nước Uống Hồng Sâm Vital Beautie Hồi Phục Sinh Khí 30 Ống, 3.700.000 ₫, not available, not available, 
Swisse, Viên Uống Tinh Chất Hạt Nho Swisse Chống Oxy Hóa 180 Viên, 599.000 ₫, 2%, 612.000 ₫, 
Naris Cosmetics, [HSD 06/2024] Viên Uống Tảo Lục Naris Cosmetic ITOH Chlorella 1600 Viên, 1.402.000 ₫, not available, not available, 
Vital Beautie, Bột Trà Xanh Lợi Khuẩn Vital Beautie Hỗ Trợ Tiêu Hóa 3 Gói, 30.000 ₫, not available, not available, 
Vital Beautie, Bột Trà Xanh Lợi Khuẩn Vital Beautie Hỗ Trợ Tiêu Hóa 60 Gói, 650.000 ₫, not available, not available, 
Itoh Kanpo, [HSD 04/2024] Nước Uống Naris Itoh Dấm Lựu Giảm Cân, 193.000 ₫, 61%, 495.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 60 Viên 30 Ngày, 79.000 ₫, 17%, 95.000 ₫, 
Elasten, Nước Uống Collagen Elasten Thủy Phân 28 Ống x 25ml, 2.000.000 ₫, 20%, 2.500.000 ₫, 
DHC, Viên Uống DHC Zinc Bổ Sung Kẽm Gói 30 Viên (30 Ngày), 89.000 ₫, 19%, 110.000 ₫, 
Blackmores, Viên Uống Blackmores Tinh Dầu Hoa Anh Thảo 190 Viên, 729.000 ₫, 26%, 986.944 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx10, 416.000 ₫, 22%, 530.000 ₫, 
DHC, Viên Uống DHC Rau Củ Quả Tổng Hợp Premium 120 Viên 30 Ngày, 209.000 ₫, 21%, 265.000 ₫, 
Itoh Kanpo, Nước Uống Naris Itoh Bổ Sung Collagen (50mlx10 Chai), 1.216.000 ₫, 26%, 1.650.000 ₫, 
DHC, Viên Uống DHC Biotin Ngăn Rụng Tóc Gói 30 Viên 30 Ngày, 119.000 ₫, 26%, 160.000 ₫, 
DHC, Viên Uống DHC Chiết Xuất Ý Dĩ Làm Sáng Da Gói 30 Viên 30 Ngày, 185.000 ₫, 24%, 245.000 ₫, 
DHC, Viên Uống DHC Bổ Sung Vitamin C Gói 180 Viên 90 Ngày, 199.000 ₫, 20%, 250.000 ₫, 
Nucos, Viên Uống Nucos Sáng Da, 535.000 ₫, 10%, 595.000 ₫, 
Gilaa, Bột Uống Collagen Gilaa Kết Hợp Saffron 2gx60 Gói, 435.000 ₫, 38%, 700.000 ₫, 
Blossomy, Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx10, 451.000 ₫, 51%, 920.000 ₫, 
DHC, Viên Uống Collagen DHC (New) Đẹp Da Gói 540 Viên 90 Ngày, 530.000 ₫, 29%, 750.000 ₫, 
MENARD, Nước Uống Collagen Nội Sinh Menard Collagen Gold 30mlx10chai, 660.000 ₫, 45%, 1.200.000 ₫, 
Blossomy, [HSD 07/2024] Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Thảo Dược 50mlx10 chai, 406.000 ₫, not available, not available, 
Hairburst, [HSD 05/2024] Kẹo Dẻo Vitamins Kích Thích Mọc Tóc Hairburst 60 Viên, 503.000 ₫, not available, not available, 
Astalift, Nước Uống Astalift Hỗ Trợ Sáng Da (10 Lọ x 50ml), 951.000 ₫, 5%, 1.001.455 ₫, 
Aishitoto, Thạch Bổ Sung Collagen Aishitoto Vị Dâu Rừng Hộp 30 Gói, 1.037.000 ₫, 20%, 1.290.000 ₫, 
Aishitoto, Thạch Bổ Sung Collagen Aishitoto Vị Nho Mẫu Đơn Hộp 30 Gói, 968.000 ₫, 25%, 1.290.000 ₫, 
Blossomy, [HSD 06/2024] Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Premium Yến 50mlx10, 561.000 ₫, not available, 563.000 ₫, 
Blossomy, [HSD 07/2024] Thực Phẩm Bảo Vệ Sức Khỏe Blossomy Nghệ Collagen 50mlx3, 114.000 ₫, 3%, 118.000 ₫, 
Naris Cosmetics, [HSD 10/2024] Nước Uống Bổ Sung Collagen Naris ITOH 50ml x 10 Lọ, 1.188.000 ₫, 28%, 1.650.000 ₫, 
Swisse, [HSD 10/2024] Viên Uống Nam Việt Quất Swisse Hỗ Trợ Đường Tiết Niệu 30 Viên, 286.000 ₫, 18%, 350.000 ₫, 
Astalift, Nước Uống Astalift Bổ Sung Collagen (10 Lọ x 30ml), 1.096.000 ₫, 7%, 1.180.000 ₫, 
DHC, Viên Uống DHC Mầm Đậu Nành Gói 60 Viên (30 Ngày), 375.000 ₫, 25%, 500.000 ₫, 
Vital Beautie, Nước Uống Vital Beautie Tăng Sức Khỏe & Đề Kháng 30 Gói, 2.100.000 ₫, not available, not available, 
Astalift, Nước Uống Astalift Bổ Sung Collagen (3 Lọ x 30ml), 369.000 ₫, 5%, 388.800 ₫, 
Blackmores, Viên Uống Blackmores Hỗ Trợ Tuần Hoàn Máu Não Lọ 40 Viên, 460.000 ₫, not available, not available, 
Alcofree, [HSD 05/2024] Thực Phẩm Bảo Vệ Sức Khỏe Alcofree 50ml, 24.000 ₫, 50%, 48.000 ₫, 
Costar, Viên Uống Đẹp Da Costar Plus Ultra Beauty 3 In 1 100 Viên, 479.000 ₫, 45%, 869.000 ₫, 
