NSX, Description, New Price, Discount percent, Old Price, 
Halio, Máy Uốn Tóc Halio Tự Xoay 360 Độ Ion Âm Màu Rose Gold, 898.000 ₫, 5%, 950.000 ₫, 
Ellips, Kem Ủ Tóc Ellips Keratin Hỗ Trợ Phục Hồi Hư Tổn 18g, 9.000 ₫, 30%, 12.840 ₫, 
Selsun, Combo 2 Dầu Gội Selsun Ngăn Ngừa Gàu Và Ngứa 250mlx2, 366.000 ₫, 12%, 416.000 ₫, 
Gennie, Dầu Gội Gennie Bưởi Ngăn Rụng, 96.000 ₫, 36%, 149.000 ₫, 
Dove, Combo Dove Dầu Gội 380ml + Kem Xả Serum 2in1 Phục Hồi & Ngăn Gãy Rụng 230ml, 321.000 ₫, 30%, 460.000 ₫, 
Pantene, Dầu Xả Pantene 3 Phút Diệu Kỳ Phục Hồi Tóc Hư Tổn 300ml, 97.000 ₫, 20%, 122.000 ₫, 
Pantene, Dầu Gội Pantene Ngăn Rụng Tóc 300ml, 84.000 ₫, 12%, 95.000 ₫, 
Cocoon, Nước Dưỡng Tóc Cocoon Sa-Chi Cấp Ẩm, 128.000 ₫, 12%, 145.000 ₫, 
L'Oreal, Kem Ủ Tóc L'Oréal Paris Hỗ Trợ Phục Hồi Tóc Hư Tổn 200ml, 114.000 ₫, 18%, 139.000 ₫, 
Pantene, Dầu Xả Pantene 3 Phút Diệu Kỳ Ngăn Rụng Tóc 300ml, 97.000 ₫, 20%, 122.000 ₫, 
Milaganics, Dầu Xả Milaganics Tinh Dầu Bưởi Dưỡng Tóc Mềm Mượt 500ml, 125.000 ₫, 61%, 317.000 ₫, 
Dove, Dầu Gội Dove Dưỡng Tóc Bồng Bềnh, 134.000 ₫, 14%, 155.000 ₫, 
TRESemmé, Xịt Dưỡng TRESemmé Bảo Vệ Tóc Khỏi Nhiệt 236ml, 209.000 ₫, 16%, 250.000 ₫, 
