NSX, Description, New Price, Discount percent, Old Price, 
V.Rohto, Dung Dịch Nhỏ Mắt V.Rohto Mineral Tear 13ml, 49.000 ₫, 18%, 60.000 ₫, 
P/S, Bàn Chải Đánh Răng P/S Detox Sáng Răng Kháng Khuẩn (1 Cây), 30.000 ₫, 21%, 38.000 ₫, 
Diana, Băng Vệ Sinh Diana Hàng Ngày Sensi Compact Gói 40 Miếng, 26.000 ₫, 26%, 35.000 ₫, 
Durex, Bao Cao Su Durex Fetherlite Siêu Mỏng Size 52.5mm (Hộp 12), 191.000 ₫, 11%, 214.000 ₫, 
Kotex, Băng Vệ Sinh Kotex Ban Đêm Mặt Bông Siêu Mỏng Cánh 35cm 8+1 Miếng, 34.000 ₫, 19%, 42.000 ₫, 
Bamboo Salt, Nước Súc Miệng Bamboo Salt Muối Hồng Himalaya Bạc Hà Mát Lạnh 760ml, 184.000 ₫, 8%, 199.000 ₫, 
Propolinse, Nước Súc Miệng Propolinse Sakura Từ Hoa Anh Đào 600ml, 189.000 ₫, 24%, 250.000 ₫, 
Diana, Băng Quần Diana Ban Đêm Dạng Size S-M 2 Cái, 38.000 ₫, 1%, 38.500 ₫, 
Lifebuoy, Nước Rửa Tay Lifebuoy Bạc Bảo Vệ Chai 450g, 68.000 ₫, 13%, 78.000 ₫, 
Sofy, Băng Vệ Sinh Sofy Skin Comfort Siêu Mỏng Cánh 26cm 17M, 69.000 ₫, 22%, 88.905 ₫, 
Laurier, Băng Vệ Sinh Laurier Hàng Ngày Không Hương 40 Miếng, 38.000 ₫, not available, not available, 
P/S, Kem Đánh Răng P/S Baking Soda & Hương Thảo Trắng Răng 230g, 38.000 ₫, 16%, 45.000 ₫, 
Sagami, Bao Cao Su Sagami Superthin Mỏng Kiểu Truyền Thống (Hộp 10), 65.000 ₫, 57%, 150.000 ₫, 
Corine de Farme, Dung Dịch Vệ Sinh Phụ Nữ Corine de Farme Từ Hoa Lily 250ml, 165.000 ₫, 17%, 199.000 ₫, 
Gillette, Dao Cạo Gillette Super Thin Cán Vàng (Gói 5 Tặng 1), 36.000 ₫, 16%, 43.000 ₫, 
Aquafresh, Kem Đánh Răng Aquafresh Bạc Hà Thơm Mát 100ml, 53.000 ₫, 14%, 61.600 ₫, 
Aquafresh, Kem Đánh Răng Aquafresh Làm Sạch Và Thơm Mát 158.7g, 92.000 ₫, not available, not available, 
V.Rohto, Dung Dịch Nhỏ Mắt V.Rohto DryEye 13ml, 49.000 ₫, 18%, 60.000 ₫, 
Colgate, Bộ 2 Bàn Chải Đánh Răng Colgate Lông Chải Kháng Khuẩn, 75.000 ₫, 21%, 95.000 ₫, 
Durex, Bao Cao Su Durex Invisible Siêu Mỏng Size 52mm (Hộp 3), 75.000 ₫, 14%, 87.000 ₫, 
Corine de Farme, Gel Vệ Sinh Phụ Nữ Corine de Farme Tươi Mát Da 250ml, 154.000 ₫, 21%, 195.000 ₫, 
Laurier, Băng Vệ Sinh Laurier Siêu Mỏng Cánh Kháng Khuẩn 22.5cm 16M, 67.000 ₫, 17%, 81.000 ₫, 
Dental Clinic 2080, Kem Đánh Răng Dental Clinic 2080 Làm Trắng Răng 100g, 65.000 ₫, 6%, 69.000 ₫, 
Oral-B, Chỉ Nha Khoa Oral-B 50m (Vỉ 1 x 50m), 57.000 ₫, 12%, 65.000 ₫, 
Sagami, Bao Cao Su Sagami Miracle Fit Thiết Kế 3D Ôm Khít (Hộp 10), 92.000 ₫, 39%, 150.000 ₫, 
Gillette, Dao Cạo Râu Gillette Blue II Plus Cán Xanh (6 Cây), 44.000 ₫, 8%, 48.000 ₫, 
Bamboo Salt, Bàn Chải Đánh Răng Bamboo Salt Muối Tre Dành Riêng Cho Nướu (Vỉ 2+1), 70.000 ₫, 22%, 90.000 ₫, 
Loli & The Wolf, Xịt Thơm Miệng Loli And The Wolf Vị Dưa Hấu Lạnh 20ml, 131.000 ₫, 22%, 169.000 ₫, 
Sagami, Bao Cao Su Sagami Original 0.02 Non Latex Siêu Mỏng (Hộp 2), 68.000 ₫, 32%, 100.000 ₫, 
Colgate, Kem Đánh Răng Colgate Optic White O2 Với Oxy Hoạt Tính 85g, 85.000 ₫, 22%, 109.000 ₫, 
Halio, Bàn Chải Điện Halio Làm Sáng Răng Màu Xanh (Bản Giới Hạn), 1.057.000 ₫, 19%, 1.300.000 ₫, 
Kotex, Băng Vệ Sinh Kotex Hoa Anh Đào Siêu Mỏng Cánh 23cm 20 Miếng, 48.000 ₫, 3%, 49.500 ₫, 
Gillette, Bọt Cạo Râu Gillette Hương Chanh 175g, 78.000 ₫, 21%, 99.000 ₫, 
MegRhythm, Mặt Nạ Xông Hơi Mắt MegRhythm Hương Hoa Cúc 5 Miếng, 118.000 ₫, 16%, 140.000 ₫, 
Femfresh, Dung Dịch Vệ Sinh Phụ Nữ Femfresh Cao Cấp Hằng Ngày 250ml, 168.000 ₫, 15%, 198.000 ₫, 
Marvis, Kem Đánh Răng Marvis Màu Bạc Làm Trắng Răng 85ml, 179.000 ₫, 36%, 279.000 ₫, 
Lactacyd, Dung Dịch Vệ Sinh Phụ Nữ Lactacyd Ngăn Mùi 24H 250ml, 72.000 ₫, 1%, 73.000 ₫, 
Median, Kem Đánh Răng Median IQ 93% Trắng Răng Màu Trắng Bạc 120g, 38.000 ₫, 42%, 65.000 ₫, 
