NSX, Description, New Price, Discount percent, Old Price, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15g, 534.000 ₫, 15%, 630.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Môi Laneige Hương Quả Mọng 3g, 61.000 ₫, 45%, 110.000 ₫, 
Laneige, Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 70ml, 599.000 ₫, 24%, 790.000 ₫, 
Laneige, [Mini] Mặt Nạ Ngủ Laneige Dưỡng Ẩm & Tăng Khả Năng Tự Vệ Da 25ml, 210.000 ₫, 32%, 310.000 ₫, 
Kiehl's, Sữa Rửa Mặt Kiehl's Hoa Cúc Làm Sạch Sâu Da 230ml, 833.000 ₫, 10%, 925.000 ₫, 
Olaplex, Dầu Dưỡng Olaplex No.7 Giúp Tóc Bóng Mượt, 690.000 ₫, 22%, 890.000 ₫, 
Kiehl's, Combo Kiehl's Làm Sạch & Làm Dịu Da Từ Hoa Cúc (Phiên Bản Lễ Hội 2022), 1.575.000 ₫, 10%, 1.750.000 ₫, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Bền Màu Tóc Nhuộm 300ml, 249.000 ₫, 43%, 439.000 ₫, 
Kiehl's, Kem Dưỡng Kiehl's Cấp Ẩm Kiềm Dầu Không Bóng Nhờn 28ml, 437.000 ₫, 10%, 485.000 ₫, 
Kiehl's, Mặt Nạ Kiehl's Nghệ & Hạt Việt Quất Làm Sáng Da 28ml, 495.000 ₫, 10%, 550.000 ₫, 
Kiehl's, Serum Kiehl's Mờ Thâm Mụn & Đều Màu Da 30ml, 1.485.000 ₫, 10%, 1.650.000 ₫, 
Olaplex, Kem Ủ Olaplex No.3 Phục Hồi Tóc Hư Tổn 100ml, 690.000 ₫, 22%, 890.000 ₫, 
Olaplex, Dầu Gội Khô Olaplex No.4D Làm Sạch Tóc 250ml, 690.000 ₫, 22%, 890.000 ₫, 
Clinique, Kem Dưỡng Clinique Cấp Ẩm Chuyên Sâu 30ml, 782.000 ₫, 15%, 920.000 ₫, 
MAC, Phấn Phủ MAC Dạng Bột Kiềm Dầu 9g, 1.010.000 ₫, not available, not available, 
Kiehl's, Serum Kiehl's Vitamin C Giúp Da Săn Chắc & Tươi Trẻ 50ml, 1.935.000 ₫, 10%, 2.150.000 ₫, 
MAC, [HSD 10/2024] Son Thỏi MAC Mịn Lì Nhẹ Môi 935 Ruby New - Đỏ Thuần 3g, 323.000 ₫, 55%, 710.000 ₫, 
SkinCeuticals, Tinh Chất SkinCeuticals Dưỡng Ẩm, 1.600.000 ₫, not available, not available, 
SkinCeuticals, Tinh Chất SkinCeuticals Chống Oxy Hoá & Làm Đều Màu Da 30ml, 3.850.000 ₫, not available, not available, 
MAC, Phấn Nền Phủ MAC #NC15 Màu Be Nhạt Cho Da Sáng 15g, 1.090.000 ₫, not available, not available, 
Shu Uemura, Dầu Tẩy Trang Shu Uemura Sáng Da, 1.001.000 ₫, 9%, 1.100.000 ₫, 
SkinCeuticals, Tinh Chất SkinCeuticals Mờ Nám, 2.675.000 ₫, not available, not available, 
Lancôme, Son Môi Lancôme Mịn Lì Mềm Mịn #888 Đỏ Mận 3.4g, 751.000 ₫, 24%, 990.000 ₫, 
MAC, Son Thỏi MAC Mịn Lì 602 Chili - Đỏ Gạch 3g, 650.000 ₫, not available, not available, 
MAC, Phấn Bắt Sáng MAC Màu Beaming Blush 9g, 1.070.000 ₫, not available, not available, 
MAC, Son Thỏi MAC Siêu Lì 702 Dangerous - Đỏ Cam 3g, 650.000 ₫, not available, not available, 
Laneige, Toner Laneige Dưỡng Ẩm Cho Da Thường Và Khô 160ml, 692.000 ₫, 10%, 770.000 ₫, 
Laneige, [Mini] Tinh Chất Dưỡng Ẩm Laneige Dành Cho Da Khô 30ml, 468.000 ₫, 15%, 550.000 ₫, 
SkinCeuticals, Tinh Chất SkinCeuticals Chống Oxy Hoá & Làm Săn Chắc Da 30ml, 3.850.000 ₫, not available, not available, 
L'Oreal Professionnel, Dầu Gội L'Oréal Professionnel Chăm Sóc Da Đầu Gàu 300ml, 307.000 ₫, 26%, 415.000 ₫, 
Estee Lauder, [Mua 2 Tặng 1] Combo Kem Nền Estee Lauder Màu 1W1 Bone + 1W2 Sand 30ml Tặng Serum Phục Hồi Da 30ml, 3.200.000 ₫, 46%, 5.900.000 ₫, 
