NSX, Description, New Price, Discount percent, Old Price, 
Maybelline, Kem Nền Maybelline Mịn Nhẹ Kiềm Dầu Chống Nắng #118 30ml, 199.000 ₫, 26%, 268.000 ₫, 
3CE, Son Lì 3CE Mịn Môi Whip Red - Đỏ Hồng Đất 4g, 337.000 ₫, 16%, 400.000 ₫, 
Laneige, Phấn Nước Laneige Cho Lớp Nền Căng Bóng Tự Nhiên 24H #21N 15gx2, 799.000 ₫, 20%, 1.000.000 ₫, 
Maybelline, Phấn Phủ Maybelline Mịn Lì Kiềm Dầu 120 Classic Ivory 8.5g, 161.000 ₫, 14%, 188.000 ₫, 
L'Oreal, Son Môi L'Oreal Mịn Lì 129 I Lead - Cam Đỏ Đất 1.7g, 263.000 ₫, 20%, 329.000 ₫, 
Black Rouge, Son Kem Lì Black Rouge A10 Red Berry - Đỏ Berry 4.5g, 164.000 ₫, 45%, 298.000 ₫, 
LEMONADE, Chì Kẻ Mày Lemonade 2 Đầu Màu Nâu Đậm 2g + 2ml, 159.000 ₫, 20%, 199.000 ₫, 
Vaseline, Son Dưỡng Môi Vaseline Mềm Mịn 4.8g, 64.000 ₫, 9%, 70.000 ₫, 
Too cool for school, Phấn Tạo Khối Too Cool For School 02 Màu Sáng 9.5g, 263.000 ₫, 18%, 320.000 ₫, 
Too cool for school, Phấn Tạo Khối Too Cool For School 01 Màu Đậm 9.5g, 263.000 ₫, 18%, 320.000 ₫, 
Baby Bright, Bảng Phấn Mắt Baby Bright Glowy Peach Tông Cam Đào 0.7g, 109.000 ₫, 22%, 139.000 ₫, 
Vaseline, Son Dưỡng Có Màu Vaseline Hồng Cam Êm Dịu 3g, 88.000 ₫, 1%, 89.000 ₫, 
The Lab, Phấn Nước The Lab Dưỡng Ẩm Màu 02 Beige - Hồng Tự Nhiên 12g, 519.000 ₫, 25%, 693.000 ₫, 
Vaseline, Son Dưỡng Có Màu Vaseline Đỏ Tươi Tắn 3g, 83.000 ₫, 7%, 89.000 ₫, 
Mediheal, Son Dưỡng Môi Mediheal Ban Đêm Không Màu 10ml, 66.000 ₫, 54%, 143.000 ₫, 
3CE, Son Lì 3CE Mịn Môi Common Stranger - Cam Đất 4g, 328.000 ₫, 18%, 400.000 ₫, 
LEMONADE, Bút Kẻ Mắt Lemonade Siêu Mảnh 02 Brown Nâu Đậm 1g, 175.000 ₫, 20%, 219.000 ₫, 
VACOSI, Bộ Cọ Trang Điểm Vacosi 14 Cây BC09 (Bóp Da Hồng), 259.000 ₫, 20%, 324.000 ₫, 
3CE, Son Kem Lì 3CE Play Off - Đỏ Cổ Điển 4.6g, 272.000 ₫, 20%, 340.000 ₫, 
L'Oreal, Son Môi L'Oreal Mịn Lì Căng Mướt 666 I Win - Đỏ Lạnh 1.7g, 263.000 ₫, 20%, 329.000 ₫, 
LEMONADE, Chì Kẻ Mày Lemonade 2 Đầu Màu Nâu Sáng 2g + 2ml, 159.000 ₫, 20%, 199.000 ₫, 
3CE, Son Kem Lì 3CE Mịn Màng Như Nhung Taupe - Đỏ Gạch 4g, 272.000 ₫, 20%, 340.000 ₫, 
